opcode|hEVM|gEVM|hTOgEVM|hSTATE|gSTATE|hTOgSTATE
STOP|2|0|inf|2|0|inf
ADD|5|3|1.667|3|3|1.0
SUB|5|3|1.667|3|3|1.0
MUL|8|5|1.6|3|5|0.6
DIV|8|5|1.6|3|5|0.6
MOD|8|5|1.6|3|5|0.6
SDIV|19|5|3.8|3|5|0.6
SMOD|19|5|3.8|3|5|0.6
ADDMOD|17|8|2.125|4|8|0.5
MULMOD|20|8|2.5|4|8|0.5
EXP|4|60|0.067|3|60|0.05
SIGNEXTEND|4|5|0.8|3|5|0.6
LT|5|3|1.667|3|3|1.0
GT|5|3|1.667|3|3|1.0
EQ|5|3|1.667|3|3|1.0
SLT|5|3|1.667|3|3|1.0
SGT|5|3|1.667|3|3|1.0
ISZERO|2|3|0.667|2|3|0.667
AND|5|3|1.667|3|3|1.0
OR|5|3|1.667|3|3|1.0
XOR|5|3|1.667|3|3|1.0
NOT|5|3|1.667|2|3|0.667
BYTE|3|3|1.0|3|3|1.0
SHL|4|3|1.333|3|3|1.0
SHR|7|3|2.333|3|3|1.0
SAR|4|3|1.333|3|3|1.0
SHA3|4|57|0.07|67|42|1.595
ADDRESS|2|2|1.0|2|2|1.0
BALANCE|3|2600|0.001|3|100|0.03
ORIGIN|2|2|1.0|2|2|1.0
CALLER|2|2|1.0|2|2|1.0
CALLVALUE|2|2|1.0|2|2|1.0
CALLDATALOAD|9|3|3.0|4|3|1.333
CALLDATASIZE|2|2|1.0|2|2|1.0
CALLDATACOPY|3|21|0.143|53|9|5.889
CODESIZE|2|2|1.0|1|2|0.5
CODECOPY|3|21|0.143|51|9|5.667
GASPRICE|2|2|1.0|2|2|1.0
EXTCODESIZE|3|2600|0.001|3|100|0.03
EXTCODECOPY|6|2612|0.002|5|103|0.049
RETURNDATASIZE|2|2|1.0|1|2|0.5
RETURNDATACOPY|4|21|0.19|3|9|0.333
EXTCODEHASH|2|2600|0.001|9|100|0.09
BLOCKHASH|3|20|0.15|2|20|0.1
TIMESTAMP|2|2|1.0|1|2|0.5
NUMBER|2|2|1.0|1|2|0.5
GASLIMIT|2|2|1.0|1|2|0.5
COINBASE|2|2|1.0|1|2|0.5
DIFFICULTY|2|2|1.0|1|2|0.5
BASEFEE|2|2|1.0|1|2|0.5
CHAINID|2|2|1.0|1|2|0.5
SELFBALANCE|2|5|0.4|3|5|0.6
POP|2|2|1.0|1|2|0.5
MLOAD|5|15|0.333|34|3|11.333
MSTORE|5|15|0.333|34|3|11.333
MSTORE8|5|12|0.417|3|3|1.0
SLOAD|2|2100|0.001|8|2100|0.004
SSTORE|3|22100|0.0|10|22100|0.0
JUMP|2|8|0.25|3|8|0.375
JUMPI|2|10|0.2|3|10|0.3
PC|2|2|1.0|1|2|0.5
MSIZE|2|2|1.0|1|2|0.5
GAS|2|2|1.0|1|2|0.5
JUMPDEST|2|1|2.0|0|1|0.0
PUSH1|9|3|3.0|1|3|0.333
PUSH2|9|3|3.0|1|3|0.333
PUSH3|9|3|3.0|1|3|0.333
PUSH4|9|3|3.0|1|3|0.333
PUSH5|9|3|3.0|1|3|0.333
PUSH6|9|3|3.0|1|3|0.333
PUSH7|9|3|3.0|1|3|0.333
PUSH8|9|3|3.0|1|3|0.333
PUSH9|9|3|3.0|1|3|0.333
PUSH10|9|3|3.0|1|3|0.333
PUSH11|9|3|3.0|1|3|0.333
PUSH12|9|3|3.0|1|3|0.333
PUSH13|9|3|3.0|1|3|0.333
PUSH14|9|3|3.0|1|3|0.333
PUSH15|9|3|3.0|1|3|0.333
PUSH16|9|3|3.0|1|3|0.333
PUSH17|9|3|3.0|1|3|0.333
PUSH18|9|3|3.0|1|3|0.333
PUSH19|9|3|3.0|1|3|0.333
PUSH20|9|3|3.0|1|3|0.333
PUSH21|9|3|3.0|1|3|0.333
PUSH22|9|3|3.0|1|3|0.333
PUSH23|9|3|3.0|1|3|0.333
PUSH24|9|3|3.0|1|3|0.333
PUSH25|9|3|3.0|1|3|0.333
PUSH26|9|3|3.0|1|3|0.333
PUSH27|9|3|3.0|1|3|0.333
PUSH28|9|3|3.0|1|3|0.333
PUSH29|9|3|3.0|1|3|0.333
PUSH30|9|3|3.0|1|3|0.333
PUSH31|9|3|3.0|1|3|0.333
PUSH32|9|3|3.0|1|3|0.333
DUP1|2|3|0.667|2|3|0.667
DUP2|2|3|0.667|2|3|0.667
DUP3|2|3|0.667|2|3|0.667
DUP4|2|3|0.667|2|3|0.667
DUP5|2|3|0.667|2|3|0.667
DUP6|2|3|0.667|2|3|0.667
DUP7|2|3|0.667|2|3|0.667
DUP8|2|3|0.667|2|3|0.667
DUP9|2|3|0.667|2|3|0.667
DUP10|2|3|0.667|3|3|1.0
DUP11|2|3|0.667|3|3|1.0
DUP12|2|3|0.667|3|3|1.0
DUP13|2|3|0.667|3|3|1.0
DUP14|2|3|0.667|3|3|1.0
DUP15|2|3|0.667|3|3|1.0
DUP16|2|3|0.667|3|3|1.0
SWAP1|2|3|0.667|4|3|1.333
SWAP2|2|3|0.667|4|3|1.333
SWAP3|2|3|0.667|4|3|1.333
SWAP4|2|3|0.667|4|3|1.333
SWAP5|2|3|0.667|4|3|1.333
SWAP6|2|3|0.667|4|3|1.333
SWAP7|2|3|0.667|4|3|1.333
SWAP8|2|3|0.667|4|3|1.333
SWAP9|2|3|0.667|3|3|1.0
SWAP10|2|3|0.667|3|3|1.0
SWAP11|2|3|0.667|3|3|1.0
SWAP12|2|3|0.667|3|3|1.0
SWAP13|2|3|0.667|3|3|1.0
SWAP14|2|3|0.667|3|3|1.0
SWAP15|2|3|0.667|3|3|1.0
SWAP16|2|3|0.667|3|3|1.0
LOG0|3|902|0.003|135|887|0.152
LOG1|3|1277|0.002|137|1262|0.109
LOG2|3|1652|0.002|139|1637|0.085
LOG3|3|2027|0.001|141|2012|0.07
LOG4|3|2402|0.001|143|2387|0.06
CREATE|6|32012|0.0|6|32000|0.0
CALL|13|41800|0.0|44|14273|0.003
CALLCODE|11|16800|0.001|1|14273|0.0
RETURN|2|15|0.133|0|0|
DELEGATECALL|10|2689|0.004|1|180|0.006
CREATE2|7|32024|0.0|6|32012|0.0
STATICCALL|10|2689|0.004|1|180|0.006
SELFDESTRUCT|2|32600|0.0|3|5000|0.001
